url_produk,nama_produk,harga_produk,jumlah_terjual,rating,nama_toko,marketplace
https://www.tokopedia.com/cahyamuly/rengginang-mentah-khas-bogor-isi-50-1733861125321688355?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang Mentah khas bogor isi 50,28000,6,4.8,cahyamulya,tokopedia
https://www.tokopedia.com/tukang-taman-71/kopi-bubuk-cap-teko-khas-bogor?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Bubuk cap Teko khas bogor,39000,15,5,Tukang Taman 71,tokopedia
https://www.tokopedia.com/aruyshp/renggining-tepung-beras-isi-30-pcs-khas-bogor-1732127212791170465?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Renggining Tepung beras isi 30 pcs khas Bogor,20000,50,4.8,aruyshp,tokopedia
https://www.tokopedia.com/khodirr-store/promo-kopi-hitam-tanpa-gula-cap-teko-khas-bogor-40gr-1731669090749810223?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,PROMO!! KOPI HITAM TANPA GULA CAP TEKO KHAS BOGOR 40gr,7500,70,4.9,khodirr store,tokopedia
https://www.tokopedia.com/yosantheng/kue-kering-kuping-gajah-khas-bogor-500-gr-food-gula-cookies-1729621934461389735?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kue Kering Kuping Gajah Khas Bogor 500 gr Food Gula Cookies,25000,0,0,yosantheng,tokopedia
https://www.tokopedia.com/aneka-bogor/manisan-pala-kering-1-kg-khas-bogor-termurah-kiloan-rendah-lemak-organik-makanan-food-snacks-1729892260148120035?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Manisan Pala Kering 1 Kg Khas Bogor Termurah Kiloan Rendah lemak Organik Makanan Food Snacks,50500,2,4.8,Aneka Bogor,tokopedia
https://www.tokopedia.com/sha02shop/dodol-ketan-asli-khas-bogor-200gram-1731252894738253290?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Dodol Ketan asli Khas Bogor 200gram,25000,0,0,Sha02Shop,tokopedia
https://www.tokopedia.com/yosantheng/kue-kering-semprong-khas-bogor-netto-500-gr-gula-food-1729621935005272999?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kue Kering Semprong Khas Bogor Netto 500 gr Gula Food,25000,11,0,yosantheng,tokopedia
https://www.tokopedia.com/chotaofid/keripik-talas-coklat-khas-bogor-camilan-manis-kriuk-lezat-chotaof-id-1734237591179724412?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,KERIPIK TALAS COKLAT KHAS BOGOR | Camilan Manis Kriuk Lezat ChoTaOf.id,16999,8,5,ChoTaOf.id,tokopedia
https://www.tokopedia.com/pg-olshop-791/rangining-makanan-ringan-mentah-khas-bogor-1729749216533448635?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rangining makanan ringan mentah khas bogor,45000,0,0,PG OLSHOP,tokopedia
